2025-08-26 06:39:53 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-08-26 06:39:54 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-08-26 06:39:54 [main] INFO  r.g.a.s.ResourceValidationService - ? Файл с инструкциями по ремонту найден: training/repair_instructions.json
2025-08-26 06:39:54 [main] INFO  r.g.a.s.ResourceValidationService - ? Файл с обучающими данными найден: training/query_training_data.jsonl
2025-08-26 06:39:54 [main] INFO  r.g.a.s.RepairInstructionsService - Загружено 5368 инструкций по ремонту
2025-08-26 06:39:54 [main] INFO  r.g.a.service.ModelTrainingService - Загружено 64 примеров для обучения
2025-08-26 06:39:54 [main] INFO  r.g.a.service.ModelTrainingService - Добавлено 10736 примеров из repair_instructions.json
2025-08-26 06:39:55 [main] INFO  r.g.a.service.ModelTrainingService - Добавлено 350 примеров из БД (в т.ч. 50 по утечкам)
2025-08-26 06:39:55 [main] INFO  r.g.a.s.OptimizedModelTrainingService - Инициализация оптимизированного сервиса обучения
2025-08-26 06:39:55 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-08-26 06:39:55 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-08-26 06:39:55 [main] INFO  r.g.a.AssistantCoreApplication - Started AssistantCoreApplication in 3.713 seconds (process running for 3.874)
2025-08-26 06:39:55 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-26 06:39:55 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-08-26 06:39:55 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-08-26 08:01:52 [main] INFO  r.g.a.AssistantCoreApplication - Starting AssistantCoreApplication using Java 17.0.12 with PID 15220 (C:\Users\user\IdeaProjects\RepairAIAssistant\assistant-core\target\classes started by user in C:\Users\user\IdeaProjects\RepairAIAssistant\assistant-core)
2025-08-26 08:01:52 [main] DEBUG r.g.a.AssistantCoreApplication - Running with Spring Boot v3.5.4, Spring v6.2.9
